date,batting_team,bowling_team,player_of_match,match_won_by,win_outcome,toss_winner,toss_decision,venue,city,day,month,year,season,superover_winner,result_type,method,event_match_no,stage,target_score,chased_score,tie_match,venue_home_team,is_home_win
2022-05-13,KXP,RCB,JM Bairstow,KXP,54 runs,RCB,field,brabourne stadium,mumbai,13,5,2022,2022,no super over,no super over,no super over,60,simple matches,210,155.0,0,no super over,0
2022-05-14,KKR,SRH,AD Russell,KKR,54 runs,KKR,bat,maharashtra cricket association stadium,pune,14,5,2022,2022,no super over,no super over,no super over,61,simple matches,178,123.0,0,no super over,0
2022-05-15,CSK,GT,WP Saha,GT,7 wickets,CSK,bat,wankhede stadium,mumbai,15,5,2022,2022,no super over,no super over,no super over,62,simple matches,134,137.0,0,MI,0
2022-05-15,RR,LSG,TA Boult,RR,24 runs,RR,bat,brabourne stadium,mumbai,15,5,2022,2022,no super over,no super over,no super over,63,simple matches,179,154.0,0,no super over,0
2022-05-16,DC,KXP,SN Thakur,DC,17 runs,KXP,field,dr dy patil sports academy,navi mumbai,16,5,2022,2022,no super over,no super over,no super over,64,simple matches,160,142.0,0,no super over,0
2022-05-17,SRH,MI,RA Tripathi,SRH,3 runs,MI,field,wankhede stadium,mumbai,17,5,2022,2022,no super over,no super over,no super over,65,simple matches,194,190.0,0,MI,0
2022-05-18,LSG,KKR,Q de Kock,LSG,2 runs,LSG,bat,dr dy patil sports academy,navi mumbai,18,5,2022,2022,no super over,no super over,no super over,66,simple matches,211,208.0,0,no super over,0
2022-05-19,GT,RCB,V Kohli,RCB,8 wickets,GT,bat,wankhede stadium,mumbai,19,5,2022,2022,no super over,no super over,no super over,67,simple matches,169,170.0,0,MI,0
2022-05-20,CSK,RR,R Ashwin,RR,5 wickets,CSK,bat,brabourne stadium,mumbai,20,5,2022,2022,no super over,no super over,no super over,68,simple matches,151,151.0,0,no super over,0
2022-05-21,DC,MI,JJ Bumrah,MI,5 wickets,MI,field,wankhede stadium,mumbai,21,5,2022,2022,no super over,no super over,no super over,69,simple matches,160,160.0,0,MI,1
2022-05-22,SRH,KXP,Harpreet Brar,KXP,5 wickets,SRH,bat,wankhede stadium,mumbai,22,5,2022,2022,no super over,no super over,no super over,70,simple matches,158,160.0,0,MI,0
2022-05-24,RR,GT,DA Miller,GT,7 wickets,GT,field,eden gardens,kolkata,24,5,2022,2022,no super over,no super over,no super over,Unknown,Qualifier 1,189,191.0,0,KKR,0
